"Programa de Governo"|"Ação"|"Órgão Responsável"|"Quanto foi previsto"|"Quanto já foi realizado <br>(Empenhado ou Pago)"
"Fortalecimento de Atencao a Saude"|"2107-DOSE Certa"|"Secr.da Saude"|4048550.49|2756384.52
"Fortalecimento de Atencao a Saude"|"2109-ATENCAO Basica Estadual"|"Secr.da Saude"|9483797.43|8332199.27
"Fortalecimento de Atencao a Saude"|"2113-INOVACAO e Conservacao"|"Secr.da Saude"|611720319.15|597758213.96
"Fortalecimento de Atencao a Saude"|"Assist Fin Compl Aos Estados,df, Municipios para a Gentes de Combate as Endemias"|"Secr.da Saude"|7871324.74|7273492.92
"Fortalecimento de Atencao a Saude"|"Atencao a Saude da Populacao para Procedimentos no Mac"|"Secr.da Saude"|733571691.10|708021228.20
"Fortalecimento de Atencao a Saude"|"Custeio de Atencao a Saude Bucal"|"Secr.da Saude"|455985.96|455985.96
"Fortalecimento de Atencao a Saude"|"em 281 Loa 2020 - Incr Atencao Saude Pop Mac Santa Casa"|"Secr.da Saude"|250000.00|250000.00
"Fortalecimento de Atencao a Saude"|"em 282 Loa 2020 - Custeio Hosp Santa Lucinda"|"Secr.da Saude"|100000.00|100000.00
"Fortalecimento de Atencao a Saude"|"em 293 Loa 2020 - Hosp Santa Lucinda Custear Desp Unidade Materno Inf"|"Secr.da Saude"|140000.00|140000.00
"Fortalecimento de Atencao a Saude"|"em 299 Loa 2020 - Custeio Pesq Cirurgica Santa Luc"|"Secr.da Saude"|60000.00|60000.00
"Fortalecimento de Atencao a Saude"|"em 352 Loa 2020 - Incr. para Entidade Gpaci - Grup o de Pesquisa e Assisntecia ao Cancer Infantil"|"Secr.da Saude"|50000.00|50000.00
"Fortalecimento de Atencao a Saude"|"em 353 Loa 2020 - Incr. Atenc. a Saude Sta Casa - Procedimentos do Mac"|"Secr.da Saude"|500000.00|500000.00
"Fortalecimento de Atencao a Saude"|"em 355 Loa 2020 - Incr. Acoes no Santa Lucinda"|"Secr.da Saude"|140000.00|140000.00
"Fortalecimento de Atencao a Saude"|"em 368 Loa 2020 - Inovacao e Conservacao"|"Secr.da Saude"|310000.00|310000.00
"Fortalecimento de Atencao a Saude"|"em 384 Loa 2020 - Incr. Atencao a Saude no Gpaci - Grupo de Apoio e Assist. ao Cancer Infantil"|"Secr.da Saude"|150000.00|150000.00
"Fortalecimento de Atencao a Saude"|"em 385 Loa 2020 - Incr. Hospital Santa Lucinda - a Tendimento e Atividades"|"Secr.da Saude"|150000.00|150000.00
"Fortalecimento de Atencao a Saude"|"em 413 Loa 2020 - Incr. Atencao a Saude Santa Casa - Procedimentos do Mac"|"Secr.da Saude"|100000.00|100000.00
"Fortalecimento de Atencao a Saude"|"em 432 Loa 2020 - Compra Equip. Ubs Vila Haro - Ma Teriais Permanentes"|"Secr.da Saude"|2150.00|2150.00
"Fortalecimento de Atencao a Saude"|"em 462 Loa 2020 - Incr. Hospital Santa Lucinda - a Tencao a Saude"|"Secr.da Saude"|55000.00|55000.00
"Fortalecimento de Atencao a Saude"|"em 464 Loa 2020 - Incr. Atencao a Saude no Gpaci - Grupo de Pesquisa e Assist. ao Cancer Infantil"|"Secr.da Saude"|300000.00|300000.00
"Fortalecimento de Atencao a Saude"|"em 491 Loa 2020 - Invest. Serv. Atend. Movel de Ur Gencia do Samu"|"Secr.da Saude"|62350.00|62350.00
"Fortalecimento de Atencao a Saude"|"em 499 Loa 2020 - Recursos a Santa Casa de Miseric Ordia"|"Secr.da Saude"|50000.00|50000.00
"Fortalecimento de Atencao a Saude"|"em 500 Loa 2020 - Recurso ao Hospital Santa Lucind"|"Secr.da Saude"|150000.00|150000.00
"Fortalecimento de Atencao a Saude"|"em 534 Loa 2020 - Incremento da Atencao a Saude da Ocedimentos no Mac - Santa Casa de Misericordia"|"Secr.da Saude"|500000.00|500000.00
"Fortalecimento de Atencao a Saude"|"em 592 Loa 2020 - Reforco na Acao de Aquisicao de Equipamentos de Carater Permanente pelo Samu"|"Secr.da Saude"|94500.00|94500.00
"Fortalecimento de Atencao a Saude"|"em 594 Loa 2020 - Recurso a Santa Casa de Miserico Rdia de Sorocaba"|"Secr.da Saude"|150000.00|150000.00
"Fortalecimento de Atencao a Saude"|"em 596 Loa 2020 - Recursos para o Gpaci - Grupo de Pesquisa e Assistencia ao Cancer Infantil"|"Secr.da Saude"|50000.00|50000.00
"Fortalecimento de Atencao a Saude"|"Faec - Transplantes de Orgaos, Tecidos e Celulas"|"Secr.da Saude"|13602143.86|11638790.47
"Fortalecimento de Atencao a Saude"|"Incentivo Fin.aos Estados, Df e Municipios para VI Gilancia em Saude - Despesas Diversas"|"Secr.da Saude"|7748321.81|4656409.29
"Fortalecimento de Atencao a Saude"|"Incentivo Fin.as Acoes de Vigilancia e Prevencao e Controle das Dst/aids e Hepatites Virais"|"Secr.da Saude"|1030988.65|738925.57
"Fortalecimento de Atencao a Saude"|"Piso de Atencao Basica Fixo - Pab Fixo"|"Secr.da Saude"|29852621.45|29087298.34
"Fortalecimento de Atencao a Saude"|"Piso de Atencao Basica Variavel - Pab"|"Secr.da Saude"|10199547.09|10095651.09
"Fortalecimento de Atencao a Saude"|"Promocao da Assistencia Farmaceutica e Insumos Est Rategicos na Atencao Basica em Saude"|"Secr.da Saude"|12090738.93|8261115.80
"Fortalecimento de Atencao a Saude"|"Samu 192"|"Secr.da Saude"|6770366.40|6646650.16
"Saude Publica de Qualidade e Eficaz"|"Assistencia Farmaceutica"|"Secr.da Saude"|14100619.50|11489431.47
"Saude Publica de Qualidade e Eficaz"|"Atencao de Media e Alta Complexidade"|"Secr.da Saude"|442409056.60|450300431.39
"Saude Publica de Qualidade e Eficaz"|"Atencao Primaria em Saude"|"Secr.da Saude"|48772461.26|46077437.68
"Saude Publica de Qualidade e Eficaz"|"em 103 em Loa 2022-SUBV. a Asipeca Assoc. Imed. Pe Ssoas Com Cancer"|"Secr.da Saude"|30000.00|30000.00
"Saude Publica de Qualidade e Eficaz"|"em 106 Loa 2022-SUBVENCAO a Entidade Cuidadora de Pessoas Com Fissura Labiopalatina  - Afissore"|"Secr.da Saude"|30000.00|30000.00
"Saude Publica de Qualidade e Eficaz"|"em 114 Loa 2022-REFORCO para Entidade Cuidadora de Pessoa Com Fissura Labiopalatal - Afissore"|"Secr.da Saude"|50000.00|50000.00
"Saude Publica de Qualidade e Eficaz"|"em 126 Loa 2022-REALIZACAO do Projeto Catarata Pel a Entidade Banco de Olhos de Sorocaba - Bos"|"Secr.da Saude"|150000.00|150000.00
"Saude Publica de Qualidade e Eficaz"|"em 127 Loa 2022-CONCESSAO a Entidade Gpaci, para R Eforco ao Tratamento Oncologico Pediatrico"|"Secr.da Saude"|100000.00|100000.00
"Saude Publica de Qualidade e Eficaz"|"em 134 Loa 2022-REPASSE ao CIM Mulher-centro Integ da Mulher,implantacao de Projeto de Psico nas Ubss"|"Secr.da Saude"|60000.00|60000.00
"Saude Publica de Qualidade e Eficaz"|"em 135 Loa 2022- Destinada ao Ibrapper - Inst. Bra Sileiro de Apoio a Pacientes Oncologicos"|"Secr.da Saude"|50000.00|50000.00
"Saude Publica de Qualidade e Eficaz"|"em 136 Loa-verbas para o Gpaci para Manutencao do Tratamento de Cancer em Criancas e Adolescentes"|"Secr.da Saude"|100000.00|100000.00
"Saude Publica de Qualidade e Eficaz"|"em 139 Loa 2022 - Verba a Pink P/ Manutencao da Pr Estacao de Servicos a Pacientes Oncologicos"|"Secr.da Saude"|70000.00|70000.00
"Saude Publica de Qualidade e Eficaz"|"em 143 Loa 2022-INCREMENTO da Populacao P/ Procedi Mentos Assis.social Junto Instituto  Maria Claro"|"Secr.da Saude"|28709.78|28709.78
"Saude Publica de Qualidade e Eficaz"|"em 147 Loa 2022-AQUISICAO de Equipamento Odontolog Ico"|"Secr.da Saude"|32000.00|26100.00
"Saude Publica de Qualidade e Eficaz"|"em 148 Loa 2022-REVITALIZACAO dos Equipamentos de Fisioterapia da Policlinica"|"Secr.da Saude"|45000.00|40723.49
"Saude Publica de Qualidade e Eficaz"|"em 149 Loa 2022-MANUTENCAO do Cs Barcelona"|"Secr.da Saude"|75000.00|75000.00
"Saude Publica de Qualidade e Eficaz"|"em 151 Loa 2022-MANUTENCAO da Ubs Cerrado"|"Secr.da Saude"|75000.00|75000.00
"Saude Publica de Qualidade e Eficaz"|"em 152 Loa 2022-MANUTENCAO da Ubs Laranjeiras"|"Secr.da Saude"|75000.00|75000.00
"Saude Publica de Qualidade e Eficaz"|"em 153 Loa 2022-MANUTENCAO do Cs Vila Hortencia"|"Secr.da Saude"|75000.00|75000.00
"Saude Publica de Qualidade e Eficaz"|"em 154 Loa 2022-CUSTEIO da Asipeca - Associacao de Socorro Imediato as Pessoas Com Cancer"|"Secr.da Saude"|50000.00|50000.00
"Saude Publica de Qualidade e Eficaz"|"em 156 Loa 2022-CUSTEIO do Gpaci - Grupo de Pesqui Sa e Assistencia ao Cancer Infantil"|"Secr.da Saude"|115419.60|115419.60
"Saude Publica de Qualidade e Eficaz"|"em 157 Loa 2022-CUSTEIO do Bos - Banco de Olhos de Sorocaba"|"Secr.da Saude"|100000.00|100000.00
"Saude Publica de Qualidade e Eficaz"|"em 158 Loa 2022-CUSTEIO do Hospital Santa Lucinda"|"Secr.da Saude"|66290.20|66290.20
"Saude Publica de Qualidade e Eficaz"|"em 159 Loa 2022-CUSTEIO do Hospital Santa Lucinda"|"Secr.da Saude"|33709.80|33709.80
"Saude Publica de Qualidade e Eficaz"|"em 160 Loa 2022-EQUIPAMENTO e Material Permanente para Santa Casa"|"Secr.da Saude"|137332.74|137332.74
"Saude Publica de Qualidade e Eficaz"|"em 176 Loa 2022-EQUIPAMENTO e Material Permanente para a Santa Casa de Misericordia de Sorocaba"|"Secr.da Saude"|1000000.00|1000000.00
"Saude Publica de Qualidade e Eficaz"|"em 178 Loa 2022-INCREMENTO da Atencao a Saude da P Opulacao P/a Pesquisa de Cancer Gpaci Sorocaba"|"Secr.da Saude"|155000.00|153914.79
"Saude Publica de Qualidade e Eficaz"|"em 192 Loa 2022-INCREMENTO ao Atendimento Medico H Ospitalar do Bos - Banco de Olhos de Sorocaba"|"Secr.da Saude"|100000.00|100000.00
"Saude Publica de Qualidade e Eficaz"|"em 193 Loa 2022-EQUIPAMENTO e Material Permanente para Santa Casa"|"Secr.da Saude"|100000.00|100000.00
"Saude Publica de Qualidade e Eficaz"|"em 194 Loa 2022-INCREMENTO do Custeio em Oncologia Pediatrica do Hospital Gpaci"|"Secr.da Saude"|707376.17|707376.17
"Saude Publica de Qualidade e Eficaz"|"em 195 Loa 2022-AQUISICAO de Equipamentos para Ubs Eden"|"Secr.da Saude"|100000.00|99774.04
"Saude Publica de Qualidade e Eficaz"|"em 196 Loa 2022-AQUISICAO de Equipamentos para Ubs Cajuru"|"Secr.da Saude"|100000.00|99999.01
"Saude Publica de Qualidade e Eficaz"|"em 197 Loa 2022-INCREMENTO ao Hospital Banco de Ol Hos de Sorocaba - Bos"|"Secr.da Saude"|150000.00|150000.00
"Saude Publica de Qualidade e Eficaz"|"em 199 Loa 2022-INCREMENTO ao Gpaci - Grupo de Pes Quisa e Assistencia ao Cancer Infantil"|"Secr.da Saude"|150000.00|150000.00
"Saude Publica de Qualidade e Eficaz"|"em 200 Loa 2022-AQUISICAO de Equipamentos e Materi Al Permamente para Santa Casa de Misericordia"|"Secr.da Saude"|200000.00|200000.00
"Saude Publica de Qualidade e Eficaz"|"em 247 Loa 2022 - Incremento para Procedimentos do Mac-santa Casa de Misericordia"|"Secr.da Saude"|100000.00|100000.00
"Saude Publica de Qualidade e Eficaz"|"em 249 Loa 2022 - Custeio a Liga Sorocabana do Can Cer"|"Secr.da Saude"|10000.00|10000.00
"Saude Publica de Qualidade e Eficaz"|"em 250 Loa 2022 - Custeio ao Grupo de Pesquisa e a Ssistencia ao Cancer Infantil - Gpaci"|"Secr.da Saude"|127333.57|127333.57
"Saude Publica de Qualidade e Eficaz"|"em 251 Loa 2022 - Custeio ao Hospital Oftalmologic o de Sorocaba - Bos"|"Secr.da Saude"|80000.00|80000.00
"Saude Publica de Qualidade e Eficaz"|"em 252 Loa 2022 - Custeio a Associacao Pais e Amig os dos Excepcionais de Sorocaba - Apae"|"Secr.da Saude"|10000.00|10000.00
"Saude Publica de Qualidade e Eficaz"|"em 253 Loa 2022 - Reforco de Custeio para Entidade Afissore"|"Secr.da Saude"|10000.00|10000.00
"Saude Publica de Qualidade e Eficaz"|"em 274 Loa 2022 - Aquisicao de Camaras de Vacina P Ara as Unidades Basicas de Saude"|"Secr.da Saude"|400000.00|400000.00
"Saude Publica de Qualidade e Eficaz"|"em 276 Loa 2022 - Aquisicao de Bebedouros para Ate Nder as Unidades de Saude"|"Secr.da Saude"|84600.00|84600.00
"Saude Publica de Qualidade e Eficaz"|"em 277 Loa 2022 - Aquisicao de Equipamentos e Mate Rial para Atender as Unidades Basicas de Saude"|"Secr.da Saude"|71609.80|50220.40
