"Programa de Governo"|"Ação"|"Órgão Responsável"|"Quanto foi previsto"|"Quanto já foi realizado <br>(Empenhado ou Pago)"
"Saude Publica de Qualidade e Eficaz"|"Assistencia Farmaceutica"|"Secr.da Saude"|36668443.04|33157169.72
"Saude Publica de Qualidade e Eficaz"|"Atencao de Media e Alta Complexidade"|"Secr.da Saude"|1700956477.63|1623986751.80
"Saude Publica de Qualidade e Eficaz"|"Atencao Primaria em Saude"|"Secr.da Saude"|217346534.40|172478887.11
"Saude Publica de Qualidade e Eficaz"|"em 1 Loa 2024 - Reforma de Areas Hospitalares de a Poio e em Outras Areas de Internacao da Santa Casa"|"Secr.da Saude"|1000000.00|1000000.00
"Saude Publica de Qualidade e Eficaz"|"em 100 Loa 2023 - Servico Acolhimento Infantojuve Nil Assoc.antonio Jose Guarda-casa Acolhimento Uai"|"Secr.da Saude"|100000.00|100000.00
"Saude Publica de Qualidade e Eficaz"|"em 101 Loa 2023 - Incremento da Atencao a Saude da Populacao para Atividades do Gpaci"|"Secr.da Saude"|100000.00|100000.00
"Saude Publica de Qualidade e Eficaz"|"em 101 Loa 2025 - Custeio ao Bos . Banco de Olhos de Sorocaba para Cirurgias de Catarata"|"Secr.da Saude"|100000.00|100000.00
"Saude Publica de Qualidade e Eficaz"|"em 102 Loa 2023 - Incremento P/custeio das Ativida Des e Projetos Realizados pela Entidade Ibrapper"|"Secr.da Saude"|150000.00|150000.00
"Saude Publica de Qualidade e Eficaz"|"em 103 Loa 2023 - Custeio Mutirao de Cirurgias,exa Mes e Consultas do Banco de Olhos de Sorocaba-bos"|"Secr.da Saude"|100000.00|100000.00
"Saude Publica de Qualidade e Eficaz"|"em 103 Loa 2025 - Custeio ao Hospital Santa Lucind"|"Secr.da Saude"|327236.80|327236.80
"Saude Publica de Qualidade e Eficaz"|"em 104 Loa 2023 - Custeio Geral da Instituicao Int Egrar"|"Secr.da Saude"|100000.00|100000.00
"Saude Publica de Qualidade e Eficaz"|"em 104 Loa 2024 - Custeio de Prestador de Servicos para Realizacao Protese Dentaria Total Removivel"|"Secr.da Saude"|200000.00|200000.00
"Saude Publica de Qualidade e Eficaz"|"em 104 Loa 2025 - Custeio a Apadas . Associacao do S Pais e Amigos de Deficientes Auditivos de Soroca"|"Secr.da Saude"|50000.00|50000.00
"Saude Publica de Qualidade e Eficaz"|"em 105 Loa 2023 - Custeio a Associacao de Socorro Imediato a Pessoas Com Cancer - Asipeca"|"Secr.da Saude"|50000.00|50000.00
"Saude Publica de Qualidade e Eficaz"|"em 106 Loa 2023 - Incremento P/custeio Ativid.e Projetos na Area Oncologia Realizados pela Asipeca"|"Secr.da Saude"|100000.00|100000.00
"Saude Publica de Qualidade e Eficaz"|"em 106 Loa 2024 - Equipamentos para a Educacao Per Manente do Samu"|"Secr.da Saude"|50000.00|33648.00
"Saude Publica de Qualidade e Eficaz"|"em 107 Loa 2023 - Custeio de Servicos da Santa Cas a de Misericordia de Sorocaba"|"Secr.da Saude"|100000.00|100000.00
"Saude Publica de Qualidade e Eficaz"|"em 107 Loa 2024 - Material de Consumo para Educaca o Permanente do Samu"|"Secr.da Saude"|50000.00|45120.00
"Saude Publica de Qualidade e Eficaz"|"em 108 Loa 2023 - Incremento nos Servicos da Area Materno Infantil do Hospital Santa Lucinda"|"Secr.da Saude"|250000.00|250000.00
"Saude Publica de Qualidade e Eficaz"|"em 109 Loa 2024 - Custeio ao Gpaci"|"Secr.da Saude"|100000.00|100000.00
"Saude Publica de Qualidade e Eficaz"|"em 110 Loa 2023-AQUISICAO Lavadora Alta Pressao e Extratora de Sujeira P/higienizacao Veiculos Ses"|"Secr.da Saude"|10000.00|5240.00
"Saude Publica de Qualidade e Eficaz"|"em 110 Loa 2024 - Custeio ao Bos"|"Secr.da Saude"|400000.00|400000.00
"Saude Publica de Qualidade e Eficaz"|"em 111 Loa 2023 - Custeio para Modernizacao do Par Que Tecnologico Unidades Especializadas em Saude"|"Secr.da Saude"|75000.00|46077.19
"Saude Publica de Qualidade e Eficaz"|"em 112 Loa 2023 - Custeio para Motolancia"|"Secr.da Saude"|32379.50|32379.50
"Saude Publica de Qualidade e Eficaz"|"em 112 Loa 2024 - Custeio a Integrar"|"Secr.da Saude"|100000.00|100000.00
"Saude Publica de Qualidade e Eficaz"|"em 113 Loa 2023 - Custeio para Viatura Ambulancia de Suporte Basico do Hospital Santa Lucinda"|"Secr.da Saude"|370000.00|350000.00
"Saude Publica de Qualidade e Eficaz"|"em 113 Loa 2024 - Reforma e Manutencao Usf Nova Es Peranca"|"Secr.da Saude"|100000.00|98400.00
