"Programa de Governo"|"Ação"|"Órgão Responsável"|"Quanto foi previsto"|"Quanto já foi realizado <br>(Empenhado ou Pago)"
"Fortalecimento da Atencao Primaria a Saude"|"Acoes de Assistencia - Urgencia e Emergencia Fixa"|"Secr.da Saude"|1097211.93|324633.26
"Fortalecimento da Atencao Primaria a Saude"|"Acoes de Assistencia - Urgencia e Emergencia Movel"|"Secr.da Saude"|1194088.00|1053496.58
"Fortalecimento da Atencao Primaria a Saude"|"Acoes de Assistencia a Atencao Basica"|"Secr.da Saude"|37220855.94|37138823.55
"Fortalecimento da Atencao Primaria a Saude"|"Acoes de Assistencia a Atencao Basica"|"Secr.da Saude"|1203621.73|789015.29
"Fortalecimento da Atencao Primaria a Saude"|"Acoes de Assistencia a Atencao Domiciliar"|"Secr.da Saude"|1549258.53|1548308.53
"Fortalecimento da Atencao Primaria a Saude"|"Acoes de Assistencia a Saude - Apoio a Diagnostico"|"Secr.da Saude"|124099.22|124099.22
"Fortalecimento da Atencao Primaria a Saude"|"Acoes de Assistencia a Saude - Especialidades"|"Secr.da Saude"|45928.00|45925.22
"Fortalecimento da Atencao Primaria a Saude"|"Acoes de Assistencia a Saude da Familia"|"Secr.da Saude"|1184518.81|1184518.81
"Fortalecimento da Atencao Primaria a Saude"|"Acoes de Assistencia a Saude Mental"|"Secr.da Saude"|1943000.00|1295647.33
"Fortalecimento da Atencao Primaria a Saude"|"Acoes de Assistencia a Saude Odontologica"|"Secr.da Saude"|132000.00|132000.00
"Fortalecimento da Atencao Primaria a Saude"|"Acoes de Assistencia Farmaceutica"|"Secr.da Saude"|8644664.87|8227081.81
"Fortalecimento da Atencao Primaria a Saude"|"Acoes de Saude do Trabalhador"|"Secr.da Saude"|333550.07|333550.07
"Fortalecimento da Atencao Primaria a Saude"|"Acoes de Vigilancia em Saude"|"Secr.da Saude"|6263919.11|5757478.49
"Fortalecimento da Atencao Primaria a Saude"|"Agentes Comunitarios de Saude - Acs"|"Secr.da Saude"|737713.31|737265.18
"Fortalecimento da Atencao Primaria a Saude"|"Atencao Basica Estadual"|"Secr.da Saude"|1966037.00|1965923.95
"Fortalecimento da Atencao Primaria a Saude"|"Centro de Controle de Zoonoses"|"Secr.da Saude"|280167.00|280122.31
"Fortalecimento da Atencao Primaria a Saude"|"Centro de Controle de Zoonoses"|"Secr.da Saude"|95850.00|33516.00
"Fortalecimento da Atencao Primaria a Saude"|"Ceo - Centro de Especialidades Odontologicas - Mun Icipal"|"Secr.da Saude"|179868.33|179868.33
"Fortalecimento da Atencao Primaria a Saude"|"Dose Certa"|"Secr.da Saude"|914629.00|886150.48
"Fortalecimento da Atencao Primaria a Saude"|"Emenda 014 Pl Loa 2017"|"Secr.da Saude"|439775.00|344393.36
"Fortalecimento da Atencao Primaria a Saude"|"Emenda 018 Pl Loa 2016"|"Secr.da Saude"|80000.00|80000.00
"Fortalecimento da Atencao Primaria a Saude"|"Emenda 019 Pl Loa 2016"|"Secr.da Saude"|100000.00|100000.00
"Fortalecimento da Atencao Primaria a Saude"|"Emenda 022 Pl Loa 2016"|"Secr.da Saude"|100000.00|100000.00
"Fortalecimento da Atencao Primaria a Saude"|"Emenda 067 Pl Loa 2017"|"Secr.da Saude"|100000.00|45931.69
"Fortalecimento da Atencao Primaria a Saude"|"Emenda 068 Pl Loa 2017"|"Secr.da Saude"|239775.00|28948.67
"Fortalecimento da Atencao Primaria a Saude"|"Emenda 069 Pl Loa 2017"|"Secr.da Saude"|150000.00|150000.00
"Fortalecimento da Atencao Primaria a Saude"|"Emenda 078 Pl Loa 2017"|"Secr.da Saude"|320775.00|49793.13
"Fortalecimento da Atencao Primaria a Saude"|"Emenda 114 Pl Loa 2016"|"Secr.da Saude"|255189.15|255189.15
"Fortalecimento da Atencao Primaria a Saude"|"Emenda 126 Pl Loa 2017"|"Secr.da Saude"|289000.00|34897.66
"Fortalecimento da Atencao Primaria a Saude"|"Emenda 138 Pl Loa 2016"|"Secr.da Saude"|180000.00|180000.00
"Fortalecimento da Atencao Primaria a Saude"|"Emenda 139 Pl Loa 2016"|"Secr.da Saude"|90000.00|90000.00
"Fortalecimento da Atencao Primaria a Saude"|"Emenda 140 Pl Loa 2016"|"Secr.da Saude"|180000.00|180000.00
"Fortalecimento da Atencao Primaria a Saude"|"Emenda 153 Pl Loa 2016"|"Secr.da Saude"|135000.00|135000.00
"Fortalecimento da Atencao Primaria a Saude"|"Emenda 206 Pl Loa 2016"|"Secr.da Saude"|150000.00|150000.00
"Fortalecimento da Atencao Primaria a Saude"|"Emenda 221 Pl Loa 2016"|"Secr.da Saude"|120000.00|120000.00
"Fortalecimento da Atencao Primaria a Saude"|"Emenda 229 Pl Loa 2016"|"Secr.da Saude"|400000.00|400000.00
"Fortalecimento da Atencao Primaria a Saude"|"Emenda 230 Pl Loa 2016"|"Secr.da Saude"|150000.00|150000.00
"Fortalecimento da Atencao Primaria a Saude"|"Emenda 231 Pl Loa 2016"|"Secr.da Saude"|300000.00|300000.00
"Fortalecimento da Atencao Primaria a Saude"|"Emenda 260 Pl Loa 2016"|"Secr.da Saude"|150000.00|150000.00
"Fortalecimento da Atencao Primaria a Saude"|"Emenda 292 Pl Loa 2016"|"Secr.da Saude"|350000.00|350000.00
